Study (cluster),Observation #,Reference,Publication type,Year published,Year (data collection),$ value reported based on year,Type of source,Action,Specific technique,Species,Location,Country,Country Code,Economy type (developed or developing),Cost (including),Total project costs reported (capital costs and operating costs),"Capital costs reported (planning, purchasing, land acquisition, construction, and financing)","Operating costs reported (maintenance, monitoring, and equipment repair and replacement)",Monitoring costs included,Construction costs included,In-kind costs (volunteers),Funding: Government,Funding: NGO,Funding: volunteers,Funding: private,Notes to funding,Project duration (year),Area (ha),Cost ($),Year used in CPI conversion,Restoration cost in (US$ / ha),"Restoration cost in  (US$ / ha) @2010 base, CPI","Restoration cost in (US$ / ha/ yr) @2010 base, CPI","Restoration cost in (Int$ / ha/ yr) @2010 base, GDP (PPP)",Feasibility (reasons for failure/success),Average survival (%),Notes,,
29,150,"Saenger P (1996) Mangrove restoration in Australia: a case study of Brisbane International AirportNA In: Field C (ed) Restoration of mangrove ecosystemsNA International Tropical Timber Organization, International Society for Mangrove Ecosystems, Okinawa, Japan, p 36–51",chapter/book,1996,1980-1981,1980,primary,"Transplanting 50,000 Aegiceras corniculatum and Avicennia marina plants on canal benches with a spacing of 1NA5 mNA Here: transplants (presumably: reef-balls or soil-free transplants)NA","Planting mangroves (seeds, seedlings or propagules)","Aegiceras corniculatum, Avicennia marina",International Airport Brisbane,Australia,AUS,developed,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA,"It is a pleasure to thank Noel Valentine of the Australian Construction Services, and Roger Browning of the Federal Airport Corporation, for providing information and access to the site, not only to myself, but also to my studentsNA",1,11.00,Cost per plant: AU $ 4NA50 (spacing of 1NA5 m),1980.00,20496.00,74782.00,74782.00,NA,Transplanting was found to be highly successfulNA Root-ball technique yielded somewhat higher survival ratesNA Survival rate of transplants: 80%NA,80,NA,,
29,151,"Saenger P (1996) Mangrove restoration in Australia: a case study of Brisbane International AirportNA In: Field C (ed) Restoration of mangrove ecosystemsNA International Tropical Timber Organization, International Society for Mangrove Ecosystems, Okinawa, Japan, p 36–51",chapter/book,1996,1980-1981,1980,primary,Cost estimate for transplantation projectNA,"Planting mangroves (seeds, seedlings or propagules)","Aegiceras corniculatum, Avicennia marina",International Airport Brisbane,Australia,AUS,developed,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA,"It is a pleasure to thank Noel Valentine of the Australian Construction Services, and Roger Browning of the Federal Airport Corporation, for providing information and access to the site, not only to myself, but also to my studentsNA",1,NA,Cost for transplantation projectNA,1980.00,26189.00,95554.00,95554.00,NA,Between 30 and 90% depending on the technique utilizedNA,60,NA,,
30,152,"Samson M, Rollon R (2008) Growth performance of planted mangroves in the Philippines: revisiting forest management strategiesNA Ambio 37:234–240",journal,2008,~1988-2008,NA,secondary,Cost estimate for planting effort: at least USD 17NA6 million assuming a conservative cost estimate of USD 400 per hectare using 440 million Rhizophora propagules at a planting density of 1 per square meterNA,"Planting mangroves (seeds, seedlings or propagules)",Rhizophora,Philippines,Philippines,PHL,developing,Cost estimate for planting effort: at least USD 17NA6 million assuming a conservative cost estimate of USD 400 per hectare using 440 million Rhizophora propagules at a planting density of 1 per square meterNA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,44000.00,17600000.00,1988.00,400.00,1701.00,85.00,NA,"High level of mortality in monospecific Rhizophora forests which are exposed to unsuitable environmental conditions such as lower tide regions, seagrass beds, areas exposed to wavesNA",NA,NA,,
31,153,"Sathirathai S, Barbier E (2001) Valuing mangrove conservation in Southern ThailandNA Contemp Econ Policy 19:109–122",journal,2001,NA,NA,secondary,"Rehabilitation of abandoned shrimp farm area to mangrove forest including replanting, maintaining and protecting mangrove seedlingsNA  Source: Royal Forestry Department, Thailand","Habitat conversion, planting",various,"Tha Po Village, Surat Thani",Thailand,THA,developing,"Rehabilitation of abandoned shrimp farm area (after a use of 5 years) to mangrove forestNA Cost for replanting, maintaining and protecting mangrove seedlingsNA",yes,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2000.00,8240.00,10655.00,10655.00,2030.00,no information,NA,NA,,
32,154,"Society for Ecological RestorationNA 2007NA China: Agenda 21 Mangrove Restoration in Southern China (Hainan, Guangxi, Fujian and Guangdong Regions); Source: http://wwwNAglobalrestorationnetworkNAorg/database/case-study/?id=28; http://wwwNAacca21NAorgNAcn/ppc21n5-11NAhtml; Priority Programme for Agenda 21 (Administrative Center for China's Agenda 21 - ACCA21, United Nations )",webpage,2007,1997-2006,NA,primary,"Restore, re-establish and plant 20,000 ha of mangrove trees in the tideland suitable for afforestation along the coast of south China; establish coral reef reserves and special protected areas, restore the productivity of the coral reef areas by increasing 50 percent of the fish stock in the reserves and the special protected areasNA
","Planting mangroves (seeds, seedlings or propagules)",various,"Hainan, Guangxi, Fujian and Guangdong, Southern China",China,CHN,developing,"Cost include expertise of foreign experts (1,600,000 US$), training (1,100,000 US$), instrument purchase (5,430,000 US$), field work (17,570,000 US$), data acquisition and processing (1,500,000 US$), technology development & dissemination (1,600,000 US$), comprehensive utilisation & development (4,600,000 US$), and contingency (1,500,000 US$)NA",yes,NA,NA,yes,NA,NA,yes,NA,NA,NA,"The total capital needed for this project is US$ 34NA9 millionNA The Chinese partners will raise US$ 22NA6 million from domestic sources, while foreign aid and investment will cover the other US$ 12NA3 millionNA This project is based on programme area 14F of China's Agenda 21, and is related to programme areas 2A, 2B, 14A, 14B, 14D and 14ENA This project has been included in the Ninth Five-Year Plan and the Outline of Plan of Ecological Construction for 2010NA It occupies an important position in the economic development strategy at the national, local and sectional levelsNA As an implementation department, the State Oceanic Administration possesses considerably strong research, monitoring and management forceNA In order to protect the existing mangrove and coral reefs, many natural reserves at the national and local levels have been established, and a leading group for
conservation of the mangrove ecosystem has been establishedNA This group consists of members from the State Oceanic Administration, the State Planning Commission, the State Science and Technology Commission, the National Environmental Protection Agency, the State Education Commission, the Chinese Academy of Sciences as well as the departments concerned in the coastal provinces and the autonomous regionsNA",9NA9,20000.00,34900000.00,1997.00,1745.00,2111.00,213.00,17.00,"No information, since the project was about to start during time of publicationNA",NA,NA,,
33,155,"Society for Ecological RestorationNA 2007NA Ecuador: Mangrove Restoration in Muisne; Source: http://wwwNAglobalrestorationnetworkNAorg/database/case-study/?id=50; Fundación de Defensa Ecológica (FUNDECOL), Ecuador; Critical Ecosystem Partnership Fund (CEPF), United States",webpage,2007,2003-2004,NA,primary,"Community efforts to protect the mangroves and active participation in
reforestation, monitoring the conservation status, and protection of the estuaryNA 29,000 red and black mangrove seeds were collected in total, of which 27,500 were ultimately used in the replanting effortNA The propagules were planted on 6NA25 m² and 4 m² plots in ten distinct phases, with a total of 13NA28 hectares of reforestationNA","Planting mangroves (seeds, seedlings or propagules)","Rhizophora mangle, Avicennia germinans","Muisne, Esmeraldas",Ecuador,ECU,developing,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA,"Critical Ecosystem Partnership Fund (CEPF), United States; HIVOS (Agencia Humanística para el Desarrollo), Holanda/Netherlands; SWISSAID, SuizaNA",1NA1,13NA28,18925.00,2003.00,1425.00,1865.00,1696.00,248.00,The project has achieved a survival rate of 90% for the seedlings in the recovery areas after 13 monthsNA,90,NA,,
34,156,Society for Ecological RestorationNA 2007NA India: Mangrove Restoration in Andhra Pradesh; Source: http://wwwNAglobalrestorationnetworkNAorg/database/case-study/?id=60; MNASNA Swaminathan Research Foundation; India-Canada Environment Facility,webpage,2007,1997-2004,NA,primary,"Digging of channels to reduce salinity, facilitate tidal flushing, and drain stagnant waterNA Applying channel techniques, instead of simple plantation of seedlings, and a fish bone pattern of channelsNA Nursery-raised mangrove saplings were planted (in October and November) along the trapezoid-shaped channelsNA","Hydrological restoration - facilitation of a natural recovery, planting","Avicennia marina, Avicennia
officinalis, Excoecaria agallocha, Aegiceras corniculatum, Bruguiera gymnorrhiza, Rhizophora apiculata, Rhizophora mucronata, Xylocarpus
moluccensis","Andhra Pradesh, east coast of India",India,IND,developing,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA,"India-Canada Environment Facility (ICEF) Contribution – $ 2,726,666 (The remaining balance was contributed by other sources - not specified in publicationNA)",7,520.00,3010000.00,1997.00,5788.00,13174.00,1882.00,61.00,"Initially the growth rate of new seedlings was slow, but after 2 to 3 years their growth rate had improvedNA Mangroves are now
naturally regenerating, and the canopy cover has become denserNA",NA,NA,,
35,157,Society for Ecological RestorationNA 2007NA Mauritius: Mangrove Restoration; Source: http://wwwNAglobalrestorationnetworkNAorg/database/case-study/?id=77; Albion Fisheries Research Centre; Republic of Mauritius Ministry of Fisheries,webpage,2007,1995-2005,NA,primary,"The restoration consisted of several distinct planting phases, some of which utilized nursery-reared seedlings, while others involved the direct planting of propagulesNA","Planting mangroves (seeds, seedlings or propagules)","Rhizophora mucronata, Bruguiera gymnorrhiza",NA,Mauritius,MUS,developing,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA,This project was conducted under the auspices of the Mauritius Ministry of FisheriesNA,10,13.00,NA,1995.00,NA,NA,NA,NA,Estimated overall survival rate of 78%NA,78,NA,,
36,158,Society for Ecological RestorationNA 2007NA Puerto Rico: Culebra Island: Puerto del Manglar Red Mangrove Restoration; Source: http://wwwNAglobalrestorationnetworkNAorg/database/case-study/?id=68; UNASNA Fish and Wildlife Service,webpage,2007,1993-1994,NA,primary,"Propagules were collected from an unaffected red mangrove forest on the southwest coast of Puerto Rico and transplanted at a newly cleared siteNA Approximately 4,000 seedlings were plantedNA","Planting mangroves (seeds, seedlings or propagules)",Rhizophora mangle,Culebra Island,Puerto Rico,PRI,developed,"The project was funded by cash contributions, in-kind services and volunteer effortsNA The federal partners provided US$ 40,000 in funding, and the nonfederal partners provided US$ 13,000NA Total time involved for preparation, planning, coordination and on site activities was approximately 17 staff days with an approximate value of US$ 3,500NA The Culebra Human and Social Services Center coordinated with USFWS staff and paid contract personnel to provide student assistanceNA The value of this in-kind nonfederal transfer was approximately US$ 1,000NA Finally, over 100 hours of volunteer labor helped make this project a realityNA",yes,NA,NA,NA,NA,yes,yes,yes,yes,NA,"The project was funded by cash contributions, in-kind services and volunteer effortsNA The federal partners provided $40,000 in funding, and the nonfederal partners provided $13,000NA In addition, NOAA/NMFS and EPA personnel provided coordination and supervision of students from the UPR during trips to the siteNA Total time involved for
preparation, planning, coordination and on site activities was approximately 17 staff days with an approximate value of $3,500NA The Culebra Human and Social Services Center (NGO) coordinated with USFWS staff and paid contract personnel to provide student assistanceNA The value of this in-kind nonfederal transfer was approximately $1,000NA Finally, over 100 hours of volunteer labor helped make this project a realityNA",0NA8,8NA094,53000.00,1993.00,6548.00,NA,NA,8817.00,NA,NA,NA,,
37,159,"Society for Ecological RestorationNA 2007NA Taiwan: Anping Harbor Mangrove Restoration Project at Tainan City; Source: http://wwwNAglobalrestorationnetworkNAorg/database/case-study/?id=47; National Pingtung University of Science and Technology, Deptment of Foresty",webpage,2007,1998-2005,NA,primary,"Restoration of two small areas within Anping Harbor: the Lungkang community channel and the Chienkang road mangrove protection areaNA At the Lungkang site, a mixture of RNA stylosa propagules and nursery-reared LNA racemosa seedlings was planted, and at the Chienkang site, PVC pipes were employed as an encasement for the establishment of RNA stylosa propagulesNA","Planting mangroves (seeds, seedlings or propagules)","Rhizophora stylosa, Lumnitzera racemosa, Kandelia candel"," Anping Harbor, Tainan City",Taiwan,TWN,developed,"All funding was used for mangrove restoration, environment monitoring (soil, water and vegetation), habitat maintenance (thinning and cleaning waste on land and at the water area), and some scientific researchNA Funding: 8,820,000 NT$",yes,NA,NA,yes,NA,NA,yes,NA,NA,NA,"The Kaohsiung Harbor Bureau (operated by Taiwan International Ports Corporation, the Taiwan's only state-owned harbor management company) provided 8,820,000 NT$ (approximately 245,000 USD) for the projectNA All funding was used for mangrove restoration, environment monitoring (soil, water and vegetation), habitat maintenance (thinning and cleaning waste on land and at the water area), and some scientific researchNA",7NA5,4NA6,245000.00,1998.00,NA,NA,NA,NA,"Directly sowing RNA stylosa propagules among Avicennia trees has given a survival rate of only 30%NA The high mortality rate is due to polluted soil, algal damage and heavy water turbulenceNA However, some saplings have grown very strongly, especially those with abundant prop roots on the favorable fringe sites near the waterwayNA LNA racemosa seedlings had a survival rate of 62NA4% in the first yearNA Unfortunately at the flooded area of the Cheinkang site, due to serious multiple stresses, the seedling survival rate
for this project was less than 5% after two monthsNA The survival rate of LNA racemosa seedlings grown in 150 cm PVC pipes was around 80%, and the seedlings produced fruits in the first yearNA",44NA4,NA,,
38,160,Society for Ecological RestorationNA 2007NA Thailand: Participation of Local Communities in Mangrove Forest Rehabilitation (Pattani Bay); Source: http://wwwNAglobalrestorationnetworkNAorg/database/case-study/?id=54; Wetlands International-Thailand Office,webpage,2007,1996-1999,NA,primary,"Combined environmental rehabilitation (replanting of seeds and hydrological restoration) and socio-economic improvements, and facilitating initiatives of the community, rather than ideas of the project teamNA","Hydrological restoration - facilitation of a natural recovery, planting",various,Pattani Bay,Thailand,THA,developing,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA,"European Union under the Tropical Forest Budget: ECU 957,185; Wetlands International contribution: ECU 100,978; Prince of Songkla University contribution: ECU 74,000",3NA3,79.00,ECU 1132163,1996.00,NA,NA,NA,NA,"Initial trials of experimental replanting by the villagers in collaboration with university staff and field workers of an area of approximately 5 ha were largely unsuccessful, with survival rates of the seedlings below 20%NA After addressing hydrology and grazing issues, a total of nearly 30 ha have been planted with seedlings of several mangrove tree species at this community forest siteNA The survival and growth of the replanted mangrove seedlings improved greatly, the best results being achieved with Avicennia marina (the species most tolerant to high salinity)NA",20,NA,,
39,161,"Society for Ecological RestorationNA 2007NA USA: Florida: Mangrove Restoration at West Lake (Broward County); Source: http://wwwNAglobalrestorationnetworkNAorg/database/case-study/?id=63; Roy RNA ""Robin"" Lewis III, Professional Wetland Scientist, Certified Senior Ecologist, Ecological Society of America",webpage,2007,1986-1995,NA,primary,"Hydrologic restoration (planning for restored hydrology and natural
colonization of seedlings) was employed and resulted in the successful establishment of 500 hectares of mangrovesNA In addition to facilitating the cost-effective development of viable mangrove habitat, the modified hydrologic design also included tidal creeks that allowed proper hydrology to support restored fish habitatNA Active removal of invasive exotic plants like Australian pine (Casuarina sppNA) and Brazilian pepper (Schinus terebinthifolius)NA",Hydrological restoration - facilitation of a natural recovery,"Rhizophora sppNA, Avicennia germinans, Laguncularia racemosa","West Lake (Broward County), Florida",USA,USA,developed,"Broward County Parks and Recreation Department, a branch of local government, is providing $5 million US for the restoration and $20 million US for the land purchase necessary to establish a county parkNA",yes,NA,NA,NA,NA,NA,yes,NA,NA,NA,"Broward County Parks and Recreation Department, a branch of local government, is providing $5 million US for the restoration and $20 million US for the land purchase necessary to establish a county parkNA",9,500.00,5000000.00,1986.00,10000.00,19896.00,2211.00,NA,Successful establishment of 500 hectares of mangrovesNA,NA,NA,,
